Date,REER,NEER,Oman_CPI,Foreign_CPI
Jan-10,96.6,100.3,87.0,83.8
Feb-10,97.0,100.5,87.0,84.0
Mar-10,96.8,100.1,87.0,84.1
Apr-10,96.5,99.8,87.2,84.4
May-10,98.2,101.5,87.4,84.6
Jun-10,97.7,101.3,87.8,84.7
Jul-10,97.4,100.3,87.8,85.2
Aug-10,97.5,100.6,88.4,85.6
Sep-10,95.1,98.9,89.4,86.0
Oct-10,95.1,98.4,89.6,86.5
Nov-10,96.7,99.6,89.5,86.8
Dec-10,95.3,98.6,90.1,87.2
Jan-11,96.2,98.6,90.1,87.8
Feb-11,95.7,98.3,90.3,88.0
Mar-11,95.2,97.8,90.5,88.1
Apr-11,94.4,96.9,90.8,88.5
May-11,94.6,97.3,91.2,88.7
Jun-11,94.7,97.2,91.3,89.0
Jul-11,94.1,96.7,91.8,89.4
Aug-11,93.6,97.1,93.0,89.6
Sep-11,96.8,99.6,92.7,90.1
Oct-11,95.9,98.7,93.0,90.4
Nov-11,97.8,100.5,93.1,90.5
Dec-11,98.3,101.1,93.2,90.6
Jan-12,96.8,99.5,93.4,90.9
Feb-12,96.3,99.1,93.7,91.1
Mar-12,98.0,100.1,93.4,91.5
Apr-12,98.6,100.5,93.5,91.8
May-12,101.3,102.8,93.3,91.9
Jun-12,100.8,102.7,93.8,92.1
Jul-12,100.3,102.5,94.4,92.4
Aug-12,99.7,102.3,95.4,92.9
Sep-12,99.1,101.1,95.3,93.4
Oct-12,99.1,101.5,95.9,93.6
Nov-12,99.7,101.8,95.6,93.7
Dec-12,99.9,101.8,95.8,93.9
Jan-13,100.8,101.5,95.1,94.4
Feb-13,101.8,102.1,95.1,94.8
Mar-13,102.7,102.7,94.9,94.9
Apr-13,102.9,102.5,94.7,95.1
May-13,103.8,103.6,95.0,95.2
Jun-13,105.2,104.7,95.2,95.6
Jul-13,105.1,105.0,95.9,96.1
Aug-13,107.4,106.8,95.9,96.4
Sep-13,106.3,105.2,95.9,96.9
Oct-13,106.0,104.5,95.9,97.2
Nov-13,107.0,105.4,95.9,97.5
Dec-13,106.9,105.4,96.0,97.4
Jan-14,107.5,106.0,96.2,97.6
Feb-14,107.8,105.4,95.7,97.9
Mar-14,107.4,104.7,95.7,98.1
Apr-14,107.0,104.6,96.2,98.4
May-14,106.8,104.4,96.4,98.6
Jun-14,107.2,104.5,96.3,98.9
Jul-14,107.9,104.9,96.6,99.4
Aug-14,108.4,105.2,96.8,99.7
Sep-14,110.5,106.9,96.7,100.0
Oct-14,110.7,107.0,96.8,100.1
Nov-14,111.6,108.1,96.9,100.0
Dec-14,113.1,109.4,96.8,100.0
Jan-15,114.3,110.2,96.6,100.2
Feb-15,115.3,110.6,96.4,100.5
Mar-15,117.2,111.9,96.3,100.9
Apr-15,116.5,110.7,96.0,101.1
May-15,118.2,111.9,96.0,101.4
Jun-15,117.9,111.8,96.5,101.8
Jul-15,118.9,113.0,97.0,102.0
Aug-15,121.3,114.8,96.9,102.4
Sep-15,123.0,115.7,96.6,102.7
Oct-15,122.7,115.1,96.4,102.8
Nov-15,123.6,115.8,96.3,102.8
Dec-15,123.7,116.2,96.7,102.9
Jan-16,125.0,117.3,96.8,103.2
Feb-16,125.0,116.8,96.7,103.4
Mar-16,123.3,114.7,96.4,103.6
Apr-16,122.3,114.3,97.2,104.0
May-16,124.1,115.5,97.1,104.3
Jun-16,122.4,114.6,98.0,104.7
Jul-16,122.4,114.6,98.3,105.0
Aug-16,122.6,114.5,98.2,105.2
Sep-16,123.0,114.2,97.8,105.4
Oct-16,123.4,114.9,98.3,105.5
Nov-16,129.4,120.1,98.1,105.7
Dec-16,130.1,120.2,97.7,105.8
Jan-17,128.9,119.5,98.5,106.3
